t,phi,z,omega,vz,E,E_anal
1.440000,3.431598,2.509379,1.554873,-10.283579,94.039612,94.039612
1.450000,3.447908,2.406262,1.710631,-10.339396,94.039611,94.039612
1.460000,3.465889,2.302600,1.889809,-10.392556,94.039611,94.039612
1.470000,3.485798,2.198422,2.097216,-10.442490,94.039611,94.039612
1.480000,3.507947,2.093763,2.338932,-10.488470,94.039610,94.039612
1.490000,3.532716,1.988668,2.622722,-10.529560,94.039609,94.039612
1.500000,3.560575,1.883192,2.958610,-10.564536,94.039608,94.039612
1.510000,3.592105,1.777403,3.359688,-10.591783,94.039606,94.039612
1.520000,3.628043,1.671389,3.843275,-10.609133,94.039602,94.039612
1.530000,3.669322,1.565263,4.432576,-10.613632,94.039597,94.039612
1.540000,3.717150,1.459173,5.159120,-10.601189,94.039587,94.039612
1.550000,3.773104,1.353315,6.066342,-10.566032,94.039569,94.039612
1.560000,3.839278,1.247955,7.214891,-10.499855,94.039537,94.039612
1.570000,3.918487,1.143461,8.690442,-10.390461,94.039476,94.039612
1.580000,4.014576,1.040350,10.614901,-10.219550,94.039352,94.039612
1.590000,4.132849,0.939366,13.161257,-9.959145,94.039094,94.039612
1.600000,4.280663,0.841606,16.569045,-9.565835,94.038534,94.039612
1.610000,4.468125,0.748711,21.145488,-8.972130,94.037324,94.039612
1.620000,4.708545,0.663165,27.202469,-8.075861,94.034890,94.039612
1.630000,5.017458,0.588668,34.803266,-6.736177,94.031212,94.039612
1.640000,5.407354,0.530422,43.141592,-4.805626,94.030210,94.039612
1.650000,5.874898,0.494688,49.800538,-2.248553,94.040084,94.039612
1.660000,6.386392,0.486764,51.487951,0.687038,94.049988,94.039612
1.670000,6.883893,0.508017,47.163396,3.500991,94.040690,94.039612
1.680000,7.317778,0.554950,39.322131,5.780881,94.031654,94.039612
1.690000,7.669434,0.621477,31.129329,7.425353,94.032422,94.039612
1.700000,7.944830,0.701690,24.208544,8.542556,94.035813,94.039612
1.710000,8.158944,0.791084,18.863166,9.285140,94.038210,94.039612
1.720000,8.326598,0.886563,14.864071,9.776911,94.039477,94.039612
1.730000,8.459622,0.986074,11.885673,10.102852,94.040095,94.039612
1.740000,8.566775,1.088254,9.649728,10.318144,94.040394,94.039612
1.750000,8.654391,1.192188,7.948873,10.458239,94.040542,94.039612
1.760000,8.727038,1.297247,6.635610,10.546119,94.040617,94.039612
1.770000,8.788045,1.402988,5.606306,10.596944,94.040657,94.039612
1.780000,8.839864,1.509096,4.787942,10.620922,94.040679,94.039612
1.790000,8.884332,1.615341,4.128569,10.625068,94.040692,94.039612
1.800000,8.922839,1.721548,3.590756,10.614303,94.040699,94.039612
1.810000,8.956460,1.827589,3.147157,10.592146,94.040703,94.039612
1.820000,8.986028,1.933362,2.777516,10.561156,94.040706,94.039612
1.830000,9.012205,2.038789,2.466623,10.523228,94.040708,94.039612
1.840000,9.035518,2.143808,2.202913,10.479782,94.040709,94.039612
1.850000,9.056391,2.248370,1.977481,10.431901,94.040710,94.039612
1.860000,9.075171,2.352434,1.783395,10.380417,94.040711,94.039612
1.870000,9.092145,2.455968,1.615200,10.325982,94.040711,94.039612
1.880000,9.107547,2.558946,1.468563,10.269108,94.040711,94.039612
1.890000,9.121576,2.661344,1.340008,10.210202,94.040711,94.039612
1.900000,9.134398,2.763144,1.226724,10.149592,94.040711,94.039612
1.910000,9.146154,2.864331,1.126420,10.087543,94.040712,94.039612
1.920000,9.156963,2.964891,1.037213,10.024272,94.040712,94.039612
1.930000,9.166930,3.064813,0.957546,9.959957,94.040712,94.039612
1.940000,9.176142,3.164087,0.886123,9.894744,94.040712,94.039612
1.950000,9.184676,3.262705,0.821859,9.828757,94.040712,94.039612
1.960000,9.192600,3.360660,0.763839,9.762098,94.040712,94.039612
1.970000,9.199971,3.457945,0.711289,9.694855,94.040712,94.039612
1.980000,9.206842,3.554555,0.663550,9.627100,94.040712,94.039612
1.990000,9.213256,3.650486,0.620058,9.558896,94.040712,94.039612
2.000000,9.219255,3.745732,0.580329,9.490297,94.040712,94.039612
2.010000,9.224874,3.840290,0.543944,9.421348,94.040712,94.039612
2.020000,9.230144,3.934158,0.510541,9.352089,94.040712,94.039612
2.030000,9.235094,4.027331,0.479806,9.282555,94.040712,94.039612
2.040000,9.239748,4.119808,0.451464,9.212774,94.040712,94.039612
2.050000,9.244130,4.211586,0.425274,9.142774,94.040712,94.039612
2.060000,9.248260,4.302663,0.401024,9.072576,94.040712,94.039612
2.070000,9.252157,4.393037,0.378528,9.002200,94.040712,94.039612
2.080000,9.255836,4.482706,0.357622,8.931665,94.040712,94.039612
2.090000,9.259314,4.571670,0.338158,8.860986,94.040712,94.039612
2.100000,9.262604,4.659926,0.320008,8.790177,94.040712,94.039612
2.110000,9.265718,4.747473,0.303056,8.719248,94.040712,94.039612
2.120000,9.268668,4.834310,0.287197,8.648213,94.040712,94.039612
2.130000,9.271465,4.920437,0.272339,8.577080,94.040712,94.039612
2.140000,9.274118,5.005852,0.258399,8.505857,94.040712,94.039612
2.150000,9.276636,5.090554,0.245303,8.434553,94.040712,94.039612
2.160000,9.279027,5.174542,0.232982,8.363175,94.040712,94.039612
2.170000,9.281298,5.257817,0.221375,8.291729,94.040712,94.039612
2.180000,9.283456,5.340377,0.210428,8.220220,94.040712,94.039612
2.190000,9.285509,5.422221,0.200091,8.148654,94.040712,94.039612
2.200000,9.287460,5.503350,0.190317,8.077035,94.040712,94.039612
2.210000,9.289317,5.583762,0.181065,8.005367,94.040712,94.039612
2.220000,9.291083,5.663457,0.172298,7.933655,94.040712,94.039612
2.230000,9.292764,5.742435,0.163981,7.861902,94.040712,94.039612
2.240000,9.294364,5.820695,0.156083,7.790110,94.040712,94.039612
2.250000,9.295887,5.898237,0.148575,7.718284,94.040712,94.039612
2.260000,9.297337,5.975060,0.141430,7.646425,94.040712,94.039612
2.270000,9.298717,6.051165,0.134623,7.574536,94.040712,94.039612
2.280000,9.300030,6.126551,0.128133,7.502619,94.040712,94.039612
2.290000,9.301280,6.201218,0.121939,7.430676,94.040712,94.039612
2.300000,9.302470,6.275164,0.116022,7.358709,94.040712,94.039612
2.310000,9.303602,6.348392,0.110364,7.286720,94.040712,94.039612
2.320000,9.304678,6.420899,0.104948,7.214710,94.040712,94.039612
2.330000,9.305701,6.492686,0.099761,7.142681,94.040712,94.039612
2.340000,9.306674,6.563752,0.094787,7.070635,94.040712,94.039612
2.350000,9.307598,6.634098,0.090014,6.998572,94.040712,94.039612
2.360000,9.308475,6.703724,0.085431,6.926493,94.040712,94.039612
2.370000,9.309307,6.772628,0.081024,6.854400,94.040712,94.039612
2.380000,9.310096,6.840812,0.076785,6.782294,94.040712,94.039612
2.390000,9.310843,6.908274,0.072704,6.710176,94.040712,94.039612
2.400000,9.311551,6.975015,0.068771,6.638046,94.040712,94.039612
2.410000,9.312219,7.041035,0.064978,6.565906,94.040712,94.039612
2.420000,9.312851,7.106333,0.061317,6.493756,94.040712,94.039612
2.430000,9.313446,7.170910,0.057780,6.421596,94.040712,94.039612
2.440000,9.314007,7.234765,0.054362,6.349429,94.040712,94.039612
2.450000,9.314534,7.297899,0.051054,6.277253,94.040712,94.039612
2.460000,9.315028,7.360310,0.047852,6.205070,94.040712,94.039612
2.470000,9.315491,7.422000,0.044749,6.132881,94.040712,94.039612
2.480000,9.315923,7.482968,0.041739,6.060685,94.040712,94.039612
2.490000,9.316326,7.543214,0.038819,5.988483,94.040712,94.039612
2.500000,9.316700,7.602737,0.035982,5.916277,94.040712,94.039612
2.510000,9.317046,7.661539,0.033226,5.844066,94.040712,94.039612
2.520000,9.317365,7.719619,0.030544,5.771850,94.040712,94.039612
2.530000,9.317657,7.776976,0.027934,5.699630,94.040712,94.039612
2.540000,9.317924,7.833611,0.025391,5.627407,94.040712,94.039612
2.550000,9.318165,7.889524,0.022912,5.555181,94.040712,94.039612
2.560000,9.318382,7.944715,0.020494,5.482952,94.040712,94.039612
2.570000,9.318575,7.999183,0.018132,5.410720,94.040712,94.039612
2.580000,9.318745,8.052929,0.015825,5.338486,94.040712,94.039612
2.590000,9.318892,8.105953,0.013570,5.266251,94.040712,94.039612
2.600000,9.319016,8.158254,0.011362,5.194013,94.040712,94.039612
2.610000,9.319119,8.209833,0.009201,5.121774,94.040712,94.039612
2.620000,9.319201,8.260690,0.007083,5.049535,94.040712,94.039612
2.630000,9.319261,8.310824,0.005006,4.977294,94.040712,94.039612
2.640000,9.319301,8.360236,0.002968,4.905053,94.040712,94.039612
2.650000,9.319321,8.408925,0.000967,4.832811,94.040712,94.039612
2.660000,9.319320,8.456892,-0.001000,4.760569,94.040712,94.039612
2.670000,9.319301,8.504136,-0.002934,4.688328,94.040712,94.039612
2.680000,9.319262,8.550658,-0.004838,4.616086,94.040712,94.039612
2.690000,9.319204,8.596458,-0.006712,4.543846,94.040712,94.039612
2.700000,9.319128,8.641535,-0.008560,4.471606,94.040712,94.039612
2.710000,9.319033,8.685890,-0.010382,4.399367,94.040712,94.039612
2.720000,9.318920,8.729523,-0.012180,4.327129,94.040712,94.039612
2.730000,9.318789,8.772433,-0.013956,4.254892,94.040712,94.039612
2.740000,9.318641,8.814621,-0.015710,4.182657,94.040712,94.039612
